step,dense_attention,b7a1_native_sdm,b7a1_residualized_sdm,b8_native_sdm,b8_residualized_sdm
85,10.110072135925293,10.193358421325684,9.9089937210083,10.225605010986328,9.915535926818848
86,10.110624313354492,10.16286849975586,9.887978553771973,10.191668510437012,9.894699096679688
87,10.05837345123291,10.110637664794922,9.798357009887695,10.127970695495605,9.79298210144043
88,10.088640213012695,10.161418914794922,9.833560943603516,10.191411972045898,9.83761215209961
89,10.046579360961914,10.078105926513672,9.77998161315918,10.107231140136719,9.785628318786621
90,10.059591293334961,10.105611801147461,9.822286605834961,10.129447937011719,9.818819046020508
91,10.029111862182617,10.076664924621582,9.788297653198242,10.09943675994873,9.786972045898438
92,9.999939918518066,10.012029647827148,9.755094528198242,10.034795761108398,9.754838943481445
93,10.001123428344727,10.021570205688477,9.74843978881836,10.047462463378906,9.753738403320312
94,10.00943660736084,10.023065567016602,9.746950149536133,10.036858558654785,9.751267433166504
95,9.990304946899414,10.010934829711914,9.679564476013184,10.03048038482666,9.6755952835083
96,10.016403198242188,10.032973289489746,9.771524429321289,10.055843353271484,9.76923942565918
97,9.970367431640625,9.977584838867188,9.681856155395508,9.994688987731934,9.680469512939453
98,9.977609634399414,9.973039627075195,9.6437349319458,9.992471694946289,9.643000602722168
99,9.904817581176758,9.911325454711914,9.629859924316406,9.930110931396484,9.627683639526367
100,9.963610649108887,9.951881408691406,9.618955612182617,9.970033645629883,9.623971939086914
101,9.890368461608887,9.874279022216797,9.626729965209961,9.892171859741211,9.659595489501953
102,9.870601654052734,9.86113166809082,9.552484512329102,9.877764701843262,9.553155899047852
103,9.865275382995605,9.848943710327148,9.57373046875,9.862618446350098,9.571067810058594
104,9.838190078735352,9.790962219238281,9.449175834655762,9.80312442779541,9.491147994995117
105,9.905826568603516,9.860236167907715,9.530012130737305,9.873462677001953,9.540045738220215
106,9.841165542602539,9.79297924041748,9.51598834991455,9.806930541992188,9.52429485321045
107,9.857072830200195,9.82323932647705,9.517606735229492,9.833937644958496,9.526168823242188
